unique_key,created_date,closed_date,resolution_action_updated_date,status,status_notes,agency_name,category,complaint_type,descriptor,incident_address,supervisor_district,neighborhood,location,source,media_url,latitude,longitude,police_district
11511140,2019-10-06 00:05:55 UTC,2019-10-06 00:14:00 UTC,2019-10-06 00:14:00 UTC,Closed,"To report unreasonable noise problems IN PROGRESS, call Police Non-Emergency at 415-553-0123.",311 Supervisor Queue,Noise Report,Noise Issue,Other,"575 LOS PALMOS DR, SAN FRANCISCO, CA, 94127",7,Sherwood Forest,POINT (-122.45468056 37.73449882),Mobile/Open311,,37.734498815723,-122.45468055632,INGLESIDE
11466346,2019-09-25 18:19:00 UTC,2019-09-26 07:19:00 UTC,2019-09-26 07:19:00 UTC,Closed,NOT A STREETLIGHT ISSUE / TRANSFERRED TO FIELD ORDER# 0008099032,PG and E - Streetlights Queue,311 External Request,Utility Lines/Wires,Utility Lines/Wires,Intersection of HUNTERS POINT BLVD and HAWES ST,10,India Basin,POINT (-122.37697601 37.73361588),Phone,,37.733615875244,-122.376976013184,BAYVIEW
11653399,2019-11-06 10:28:00 UTC,,2019-11-06 10:45:09 UTC,Open,open,MUNI Work Queue,MUNI Feedback,MUNI - Services_Criminal_Activity,502_Larceny_Theft,Intersection of GEARY BLVD and LAGUNA ST,5,Japantown,POINT (-122.42798615 37.78495407),Phone,,37.784954071045,-122.42798614502,NORTHERN
11501727,2019-10-03 17:23:25 UTC,2019-10-30 05:11:35 UTC,2019-10-30 05:11:35 UTC,Closed,case is resolved,DPT SignShop Repair Queue,Sign Repair,Sign Repair - Missing,Other - Missing; support - Bent,Intersection of HUDSON AVE and TOLAND ST,10,Produce Market,POINT (-122.39754233 37.74537037),Mobile/Open311,,37.745370368973,-122.397542329899,BAYVIEW
10576131,2019-03-07 19:16:00 UTC,2019-03-08 06:00:19 UTC,2019-03-08 06:00:19 UTC,Closed,Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,amplified_sound_electronics,Noise Report - amplified_sound_electronics,"2110 PALOU AVE, SAN FRANCISCO, CA, 94124",10,Apparel City,POINT (-122.40085602 37.73970413),Phone,,37.73970413208,-122.400856018066,BAYVIEW
11657536,2019-11-07 09:16:18 UTC,,2019-11-07 09:45:02 UTC,Open,accepted,DPT Meter_Bike Queue,Graffiti,Graffiti on Parking_meter,Parking_meter - Not_Offensive,"720 BATTERY ST, SAN FRANCISCO, CA, 94111",3,Northern Waterfront,POINT (-122.40084776 37.79777601),Mobile/Open311,http://mobile311.sfgov.org/reports/11657536/photos,37.797776009582,-122.400847760069,CENTRAL
11561853,2019-10-17 07:59:00 UTC,2019-10-17 22:15:58 UTC,2019-10-17 22:15:58 UTC,Closed,Request is a duplicate and has been previously reported as 11561839,DPW Ops Queue,Litter Receptacles,Tipped_over,N/A,"32 ELGIN PARK, SAN FRANCISCO, CA, 94103",8,Mint Hill,POINT (-122.42327389 37.77097707),Mobile/Open311,http://mobile311.sfgov.org/reports/11561853/photos,37.770977066865,-122.423273893187,SOUTHERN
11537074,2019-10-11 11:52:00 UTC,2019-11-05 08:18:00 UTC,2019-11-05 08:18:00 UTC,Closed,,PUC - Water - Graffiti Queue,Graffiti,Graffiti on Fire_hydrant,Fire_hydrant - Offensive,"603 SCOTT ST, SAN FRANCISCO, CA, 94117",5,Alamo Square,POINT (-122.43632477 37.77520792),Mobile/Open311,http://mobile311.sfgov.org/reports/11537074/photos,37.77520791631,-122.436324767882,NORTHERN
9252947,2018-07-11 12:35:00 UTC,2018-07-12 06:00:55 UTC,2018-07-12 06:00:55 UTC,Closed,Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,Noise Issue,Other,Intersection of THE EMBARCADERO and KING ST,6,South Beach,POINT (-122.38773873 37.7815909),Mobile/Open311,,37.781590903213,-122.387738730872,SOUTHERN
9180806,2018-06-25 05:45:19 UTC,2018-06-25 05:45:21 UTC,2018-06-25 05:45:21 UTC,Closed,The report has been logged and will help the City collect data on double parking and bike lane violations to determine target areas and future enforcement efforts. Thank you.,Parking Enforcement Review Queue,Parking Enforcement,Double_Parking,Parking Enforcement,"66 LIEBIG ST, SAN FRANCISCO, CA, 94112",11,Outer Mission,POINT (-122.45689861 37.70901172),Mobile/Open311,,37.709011724428,-122.456898608926,INGLESIDE
